primaryTitle,tconst,directors,writers
On Dangerous Ground,tt0008381,nm0861336,"nm0547966,nm0828890"
Cecilia of the Pink Roses,tt0008955,nm0825225,"nm0369856,nm0919890"
The Cabinet of Dr. Caligari,tt0010323,nm0927468,"nm0562346,nm0417917"
April Folly,tt0010964,nm0502752,"nm0413248,nm0830868"
The Monastery's Hunter,tt0011369,nm0652302,nm0304328
The Kid,tt0012349,nm0000122,nm0000122
The Phantom Carriage,tt0012364,nm0803705,"nm0481248,nm0803705"
The Seventh Day,tt0013590,nm0454771,"nm0115063,nm0332539"
Safety Last!,tt0014429,"nm0628345,nm0853130","nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
The Last Laugh,tt0015064,nm0003638,nm0562346
Die Nibelungen: Siegfried,tt0015175,nm0000485,"nm0000485,nm0902376"
Sherlock Jr.,tt0015324,nm0000036,"nm0369841,nm0593477,nm0115669"
Yolanda,tt0015518,nm0897085,"nm0538186,nm0715564"
The Gold Rush,tt0015864,nm0000122,nm0000122
Greed,tt0015881,nm0002233,"nm0558923,nm0002233,nm0635805,nm0267868"
The Sporting Venus,tt0016390,nm0624714,"nm0064595,nm0313888"
Faust,tt0016847,nm0003638,"nm0369458,nm0477515,nm0324473"
Just Suppose,tt0017014,nm0916177,"nm0858440,nm0694345,nm0048305"
Metropolis,tt0017136,nm0000485,"nm0902376,nm0000485"
Almost Human,tt0017619,nm0882160,"nm0205343,nm0073238,nm0469166"
The General,tt0017925,"nm0115669,nm0000036","nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
Napoleon,tt0018192,nm0304098,nm0304098
Sunrise,tt0018455,nm0003638,"nm0562346,nm0837183,nm0385012,nm0129721"
The Cameraman,tt0018742,"nm0781292,nm0000036","nm0115669,nm0513858,nm0267868,nm0090213,nm0604526"
The Circus,tt0018773,nm0000122,nm0000122
The Crowd,tt0018806,nm0896542,"nm0896542,nm0915875,nm0267868,nm0066946"
The Last Command,tt0019071,nm0903049,"nm0083742,nm0329312,nm0523932,nm0542534,nm0903049"
The Passion of Joan of Arc,tt0019254,nm0003433,"nm0217865,nm0003433"
The Wind,tt0019585,nm0803705,"nm0547966,nm0769090"
Man with a Movie Camera,tt0019760,nm0895048,nm0895048
All Quiet on the Western Front,tt0020629,nm0587277,"nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277"
City Lights,tt0021749,nm0000122,"nm0000122,nm0139714,nm0188357"
M,tt0022100,nm0000485,"nm0902376,nm0000485,nm0414825"
I Am a Fugitive from a Chain Gang,tt0023042,nm0503777,"nm0122859,nm0337914,nm0391763,nm0316807"
Trouble in Paradise,tt0023622,nm0523932,"nm0710723,nm0428177,nm0015801"
It Happened One Night,tt0025316,nm0001008,"nm0728307,nm0011343"
Napoléon Bonaparte,tt0025556,nm0304098,nm0304098
Modern Times,tt0027977,nm0000122,nm0000122
My Man Godfrey,tt0028010,nm0478441,"nm0753452,nm0368719,nm0015399,nm0478441,nm0696190"
Captains Courageous,tt0028691,nm0281808,"nm0456017,nm0536941,nm0175091,nm0886861,nm0453311"
The Grand Illusion,tt0028950,nm0719756,"nm0816458,nm0719756"
Make Way for Tomorrow,tt0029192,nm0564970,"nm0217568,nm0492854,nm0495259,nm0495270,nm0732209"
Gone with the Wind,tt0031381,"nm0281808,nm0002030,nm0939992","nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668"
Mr. Smith Goes to Washington,tt0031679,nm0001008,"nm0118227,nm0287931,nm0175333"
The Wizard of Oz,tt0032138,"nm0896542,nm0002030,nm0281808,nm0861703,nm0851537,nm0503777","nm0486538,nm0753249,nm0941138,nm0000875,nm0006085,nm0106505,nm0134284,nm0276252,nm0355095,nm0361971,nm0388755,nm0481618,nm0536941,nm0542534,nm0591774,nm0621790,nm0685265,nm0780833,nm0799015"
You're Missing the Point,tt0032186,nm0124571,"nm0124571,nm0350927"
The Grapes of Wrath,tt0032551,nm0000406,"nm0425913,nm0825705"
The Great Dictator,tt0032553,nm0000122,nm0000122
Rebecca,tt0032976,nm0000033,"nm0238898,nm0792845,nm0365661,nm0531878,nm0389580"
