writers	primaryName	primaryProfession
nm0304328	Ludwig Ganghofer	writer
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0562346	Carl Mayer	writer,script_department,miscellaneous
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0304098	Abel Gance	writer,director,editor
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0895048	Dziga Vertov	director,writer,editor
nm0304098	Abel Gance	writer,director,editor
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0699535	Jacques Prévert	soundtrack,writer,actor
nm0711905	Terence Rattigan	writer,actor
nm0000122	Charles Chaplin	soundtrack,writer,actor
nm0315547	Ritwik Ghatak	director,writer,actor
nm0953790	Cesare Zavattini	writer,director,producer
nm0135905	Ion Luca Caragiale	writer
nm0461425	Frederick Knott	writer
nm0741627	Reginald Rose	writer,producer
nm0534848	G.D. Madgulkar	writer,actor,music_department
nm0775977	Budd Schulberg	writer,producer,soundtrack
nm0747657	Viktor Rozov	writer
nm0000005	Ingmar Bergman	writer,director,actor
nm0000005	Ingmar Bergman	writer,director,actor
nm0135905	Ion Luca Caragiale	writer
nm0419485	Yorgos Tzavellas	writer,director,actor
nm0499626	Ernest Lehman	writer,producer,soundtrack
nm0410694	Ulla Isaksson	writer
nm0452878	Ryûzô Kikushima	writer,producer
nm0559695	Zenzô Matsuyama	writer,director,assistant_director
nm0360605	Lorraine Hansberry	writer
nm0000005	Ingmar Bergman	writer,director,actor
nm0814242	Rodolfo Sonego	writer,assistant_director
nm0793881	Kaneto Shindô	writer,director,art_director
nm0301613	Alekos Galanos	writer
nm0000005	Ingmar Bergman	writer,director,actor
nm0765090	William Sargent Jr.	producer,writer,miscellaneous
nm0229732	Imre Dobozi	writer
nm0006249	Satyajit Ray	writer,composer,director
nm0000005	Ingmar Bergman	writer,director,actor
nm0075444	Zvonimir Berkovic	writer,director
nm0471424	Rajendra Krishan	music_department,writer,soundtrack
nm0000005	Ingmar Bergman	writer,director,actor
nm0001279	William Goldman	writer,miscellaneous,producer
nm0158582	Tadeusz Chmielewski	writer,director,producer
nm0691489	Titus Popovici	writer
nm0354416	Nikolai Haitov	writer
nm0787289	Anthony Shaffer	writer,miscellaneous
nm0495848	Djordje Lebovic	writer
nm0000005	Ingmar Bergman	writer,director,actor
nm0498877	Jean Pierre Lefebvre	director,writer,actor
nm0087861	William Peter Blatty	writer,actor,director
nm0619760	M.T. Vasudevan Nair	writer,director,actor
nm0911486	David S. Ward	writer,director,miscellaneous
nm0691489	Titus Popovici	writer
nm0001202	Rainer Werner Fassbinder	writer,director,actor
nm0371059	Jamie Uys	director,writer,producer
nm0105693	Michel Brault	cinematographer,director,producer
nm0001023	John Cassavetes	actor,director,writer
nm2759584	Alain Badiou	writer
nm0649096	Marcel Ophüls	director,writer,actor
nm0154665	Paddy Chayefsky	writer,actor,producer
nm0000230	Sylvester Stallone	actor,writer,producer
nm0001707	Paul Schrader	writer,director,soundtrack
nm0113551	Ewing Miles Brown	actor,producer,director
nm0468169	Dusan Kovacevic	writer,miscellaneous,director
nm0000184	George Lucas	writer,producer,director
nm0000005	Ingmar Bergman	writer,director,actor
nm0552731	Mardik Martin	writer,actor,miscellaneous
nm0368688	Ali Hatami	director,writer,producer
nm0351566	Yilmaz Güney	actor,writer,director
nm1142021	Enver Mamedkhanly	writer
nm0953261	Frank Zappa	soundtrack,composer,director
nm0239806	Réjean Ducharme	writer
nm0570395	Nana Mchedlidze	director,actress,writer
nm0825506	Jeff Stein	writer,producer,director
nm0548648	Goran Markovic	director,writer,actor
nm0660936	Sai Paranjape	director,writer,music_department
nm2364499	Roger Glachant	writer
nm0006249	Satyajit Ray	writer,composer,director
nm0006664	Zdenek Sverák	writer,actor,soundtrack
nm0774764	Victor Schonfeld	director,producer,writer
nm0001070	Bill Cosby	actor,writer,music_department
nm0000005	Ingmar Bergman	writer,director,actor
nm0001348	Werner Herzog	director,writer,actor
nm0109300	John Briley	writer,producer,actor
nm0468169	Dusan Kovacevic	writer,miscellaneous,director
nm0067323	Bahram Beyzaie	writer,director,editor
nm0914166	Roger Waters	soundtrack,composer,actor
nm0371630	Lee Hays	soundtrack,actor,writer
nm0351566	Yilmaz Güney	actor,writer,director
nm0620451	Keiji Nakazawa	writer,producer,director
nm0347899	Gulzar	music_department,writer,soundtrack
nm0006357	Daniel Schmid	director,writer,actor
nm0468169	Dusan Kovacevic	writer,miscellaneous,director
nm0348636	Vladimir Gurkin	writer,actor
nm0564625	Cheryl McCall	writer,producer
nm0351566	Yilmaz Güney	actor,writer,director
nm0000231	Oliver Stone	director,producer,writer
nm1454004	Don Berrigan	writer
nm0329715	Adoor Gopalakrishnan	director,writer,producer
nm0001501	Louis Malle	director,writer,producer
nm0793881	Kaneto Shindô	writer,director,art_director
nm0562699	Tony Maylam	director,writer,producer
nm0452102	Abbas Kiarostami	writer,director,editor
nm0001279	William Goldman	writer,miscellaneous,producer
nm0001554	Errol Morris	director,producer,writer
nm0594503	Hayao Miyazaki	animation_department,director,art_department
nm0067323	Bahram Beyzaie	writer,director,editor
nm0776114	Tom Schulman	writer,producer,director
nm0611188	Robert Mugge	director,producer,editor
nm0469650	Robert Kramer	director,writer,cinematographer
nm0169679	Peter Cohen	producer,writer,director
nm0086658	Michael Blake	writer,director,producer
nm0576529	Dariush Mehrjui	director,writer,producer
nm0452102	Abbas Kiarostami	writer,director,editor
nm0619760	M.T. Vasudevan Nair	writer,director,actor
nm0006249	Satyajit Ray	writer,composer,director
nm0368688	Ali Hatami	director,writer,producer
nm0538484	Anne Makepeace	writer,director,producer
nm0001348	Werner Herzog	director,writer,actor
nm0236729	Srdjan Dragojevic	writer,producer,director
nm0666674	Anand Patwardhan	director,editor,producer
nm0711745	Mani Ratnam	writer,director,producer
nm0352032	Kamal Haasan	actor,music_department,writer
nm0548648	Goran Markovic	director,writer,actor
nm0672459	David Webb Peoples	writer,editor,director
nm0509489	Rachel Liebling	director,writer,camera_department
nm0643446	Alanis Obomsawin	director,writer,producer
nm0309697	Tony Gatlif	director,writer,actor
nm0618284	Ray Müller	director,writer,producer
nm0045024	Temur Babluani	director,actor,writer
nm0943150	Nien-Jen Wu	writer,actor,director
nm0843921	András Szekér	writer,miscellaneous,script_department
nm0939182	Kar-Wai Wong	writer,director,producer
nm0683400	John Pilger	writer,director,producer
nm1022277	Cheuk-Hon Szeto	writer,director,sound_department
nm0000108	Luc Besson	writer,producer,director
nm0666674	Anand Patwardhan	director,editor,producer
nm0908824	Randall Wallace	writer,producer,director
nm0440913	Mathieu Kassovitz	actor,director,producer
nm0000520	Michael Mann	producer,writer,director
nm0639618	John O'Brien	director,writer,editor
nm0001825	Andrew Kevin Walker	writer,actor,miscellaneous
nm0003160	Christopher McQuarrie	writer,producer,director
nm0659950	Wolfgang Panzer	director,writer,producer
nm0877078	Yavuz Turgul	writer,director,soundtrack
nm0970108	Sanford Santacroce	writer,miscellaneous,actor
nm0466892	Andrej Kosak	director,writer,assistant_director
nm0005139	Mike Leigh	director,writer,miscellaneous
nm0000671	Billy Bob Thornton	actor,writer,soundtrack
nm0387306	Ivy Ho	writer,producer,actress
nm0783068	Slobodan Selenic	writer
nm1376373	Andy Schatzberg	producer,writer,director
nm0939182	Kar-Wai Wong	writer,director,producer
nm0586235	Gordan Mihic	writer,director,miscellaneous
nm0006498	Majid Majidi	director,writer,actor
nm0831980	Julian Stone	writer,director,editor
nm0445435	Fred Kelemen	cinematographer,editor,director
nm0629272	Andrew Niccol	writer,director,producer
nm0571346	David McKenna	writer,producer
nm0005363	Guy Ritchie	writer,director,producer
nm0734441	Robert Rodat	writer,producer,director
