primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
Cecilia of the Pink Roses,tt0008955,\N,\N,Eva Campbell,actress
The Cabinet of Dr. Caligari,tt0010323,\N,\N,Lothar Prox,composer
The Monastery's Hunter,tt0011369,\N,\N,Hans Außfelder,actor
The Kid,tt0012349,1895,1971,Amanda Yanez,actress
The Phantom Carriage,tt0012364,1892,1977,Lisa Lundholm,actress
The Seventh Day,tt0013590,\N,\N,Alfred Schmid,actor
Safety Last!,tt0014429,1896,1957,Bill Strother,"actor,stunts"
The Last Laugh,tt0015064,\N,\N,David Beck,music_department
Sherlock Jr.,tt0015324,\N,\N,David Kirsch,music_department
Yolanda,tt0015518,\N,\N,George Buckward,stunts
The Gold Rush,tt0015864,\N,\N,A.J. O'Connor,actor
Greed,tt0015881,\N,\N,Andrew Pierce,editorial_department
Just Suppose,tt0017014,\N,\N,Prince Rokneddine,actor
Metropolis,tt0017136,\N,\N,Beatrice Garga,actress
Almost Human,tt0017619,\N,\N,Hank,actor
The General,tt0017925,\N,\N,Al Hanson,actor
Napoleon,tt0018192,\N,\N,Albinet,camera_department
The Circus,tt0018773,\N,\N,Jack Bernard,actor
The Crowd,tt0018806,1924,2006,Alice Mildred Puter,actress
The Passion of Joan of Arc,tt0019254,1894,1984,Jean Hugo,art_department
The Wind,tt0019585,\N,\N,Ruth Newmark,miscellaneous
All Quiet on the Western Front,tt0020629,\N,\N,Christiaan Kreins,music_department
City Lights,tt0021749,\N,\N,Ad Herman,actor
M,tt0022100,\N,\N,Behal Carrell,actor
I Am a Fugitive from a Chain Gang,tt0023042,\N,\N,Jack Miller,miscellaneous
It Happened One Night,tt0025316,\N,\N,Charles Wilroy,actor
Napoléon Bonaparte,tt0025556,\N,\N,Cathelat,actor
Modern Times,tt0027977,\N,\N,Bob Depps,art_department
My Man Godfrey,tt0028010,\N,\N,Elaine Cochrane,actress
Captains Courageous,tt0028691,\N,\N,Goldie Sloan,actress
The Grand Illusion,tt0028950,\N,\N,Alexandre Laurié,art_department
