primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
On Dangerous Ground,1917,8.7,nm0861336,"Drama,War",116,On Dangerous Ground,50,tt0008381,"nm0547966,nm0828890"
Cecilia of the Pink Roses,1918,8.6,nm0825225,Drama,118,Cecilia of the Pink Roses,60,tt0008955,"nm0369856,nm0919890"
The Cabinet of Dr. Caligari,1920,8.0,nm0927468,"Horror,Mystery,Thriller",65105,Das Cabinet des Dr. Caligari,76,tt0010323,"nm0562346,nm0417917"
April Folly,1920,8.1,nm0502752,"Crime,Drama",160,April Folly,50,tt0010964,"nm0413248,nm0830868"
The Monastery's Hunter,1920,8.1,nm0652302,Drama,123,Der Klosterjäger,70,tt0011369,nm0304328
The Kid,1921,8.3,nm0000122,"Comedy,Drama,Family",127609,The Kid,68,tt0012349,nm0000122
The Phantom Carriage,1921,8.0,nm0803705,"Drama,Fantasy,Horror",12929,Körkarlen,107,tt0012364,"nm0481248,nm0803705"
The Seventh Day,1922,8.3,nm0454771,"Drama,Romance",130,The Seventh Day,60,tt0013590,"nm0115063,nm0332539"
Safety Last!,1923,8.1,"nm0628345,nm0853130","Action,Comedy,Thriller",21118,Safety Last!,74,tt0014429,"nm0730018,nm0853130,nm0924065,nm0907778,nm0369841,nm0516001"
The Last Laugh,1924,8.0,nm0003638,Drama,14322,Der letzte Mann,77,tt0015064,nm0562346
Die Nibelungen: Siegfried,1924,8.1,nm0000485,"Adventure,Drama,Fantasy",6042,Die Nibelungen: Siegfried,143,tt0015175,"nm0000485,nm0902376"
Sherlock Jr.,1924,8.2,nm0000036,"Action,Comedy,Romance",51060,Sherlock Jr.,45,tt0015324,"nm0369841,nm0593477,nm0115669"
Yolanda,1924,8.6,nm0897085,Romance,151,Yolanda,74,tt0015518,"nm0538186,nm0715564"
The Gold Rush,1925,8.1,nm0000122,"Adventure,Comedy,Drama",112557,The Gold Rush,95,tt0015864,nm0000122
Greed,1924,8.1,nm0002233,"Drama,Thriller,Western",10191,Greed,140,tt0015881,"nm0558923,nm0002233,nm0635805,nm0267868"
The Sporting Venus,1925,8.0,nm0624714,"Drama,Romance",122,The Sporting Venus,66,tt0016390,"nm0064595,nm0313888"
Faust,1926,8.1,nm0003638,"Drama,Fantasy,Horror",15588,Faust: Eine deutsche Volkssage,107,tt0016847,"nm0369458,nm0477515,nm0324473"
Just Suppose,1926,8.1,nm0916177,"Drama,Romance",107,Just Suppose,70,tt0017014,"nm0858440,nm0694345,nm0048305"
Metropolis,1927,8.3,nm0000485,"Drama,Sci-Fi",175812,Metropolis,153,tt0017136,"nm0902376,nm0000485"
Almost Human,1927,8.8,nm0882160,"Drama,Romance",366,Almost Human,60,tt0017619,"nm0205343,nm0073238,nm0469166"
The General,1926,8.1,"nm0115669,nm0000036","Action,Adventure,Comedy",92570,The General,67,tt0017925,"nm0000036,nm0115669,nm0090213,nm0807667,nm0685904,nm0809548"
Napoleon,1927,8.2,nm0304098,"Biography,Drama,History",7994,Napoléon vu par Abel Gance,330,tt0018192,nm0304098
Sunrise,1927,8.1,nm0003638,"Drama,Romance",51627,Sunrise: A Song of Two Humans,94,tt0018455,"nm0562346,nm0837183,nm0385012,nm0129721"
The Cameraman,1928,8.0,"nm0781292,nm0000036","Comedy,Drama,Family",12053,The Cameraman,76,tt0018742,"nm0115669,nm0513858,nm0267868,nm0090213,nm0604526"
The Circus,1928,8.1,nm0000122,"Comedy,Family,Romance",34294,The Circus,72,tt0018773,nm0000122
The Crowd,1928,8.1,nm0896542,"Drama,Music,Romance",8583,The Crowd,98,tt0018806,"nm0896542,nm0915875,nm0267868,nm0066946"
The Last Command,1928,8.0,nm0903049,"Drama,History,Romance",4052,The Last Command,88,tt0019071,"nm0083742,nm0329312,nm0523932,nm0542534,nm0903049"
The Passion of Joan of Arc,1928,8.2,nm0003433,"Biography,Drama,History",55822,La passion de Jeanne d'Arc,110,tt0019254,"nm0217865,nm0003433"
The Wind,1928,8.0,nm0803705,"Drama,Romance,Thriller",6795,The Wind,95,tt0019585,"nm0547966,nm0769090"
Man with a Movie Camera,1929,8.4,nm0895048,"Documentary,Music",25823,Chelovek s kino-apparatom,68,tt0019760,nm0895048
